直播源,#genre#
深圳卫视,http://111.20.45.168:80/wh7f454c46tw236722247_2120198365/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801/index.m3u8
游戏风云,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226579/index.m3u8
湖北卫视,http://39.134.18.66:80/wh7f454c46tw4194599384_-1622162671/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226194/index.m3u8
湖南卫视,http://39.134.18.114:80/wh7f454c46tw135880075_1692809674/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/index.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳视澳门,http://r.jdshipin.com/n2YZI
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
纯享4K,http://zteres.sn.chinamobile.com:6060/000000001000/1000000004000011651/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011651&livemode=1&stbId=3
翡翠台,http://r.jdshipin.com/qClQf
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
莲花卫视,http://anren.live/HK/BiIOU11uLA.m3u8
辽宁卫视,http://39.134.18.65:80/wh7f454c46tw3911328985_-876664648/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226201/index.m3u8
重庆卫视,http://111.20.45.171:80/wh7f454c46tw3997385154_-2069538352/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226202/index.m3u8
魅力足球,http://nas.jdshipin.com:8801/bst.php?id=mlyyhd8m/8000000
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑龙江卫视,http://111.20.45.169:80/wh7f454c46tw340011057_-580493415/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8
